score,artista,titulo,ano,problemas,palavras_descricao,n_referencias,n_referencias_com_versiculo
8,Viggo Johansen,Alegre Natal,1891,"SEM_DESCRICAO, SEM_CONTEXTO_HISTORICO, SEM_REFERENCIA_BIBLICA",5,0,0
8,Wenzel Hablik,Céu estrelado,1909,"SEM_DESCRICAO, SEM_CONTEXTO_HISTORICO, SEM_REFERENCIA_BIBLICA",5,0,0
8,William Blake,The Ancient of Days,1794,"SEM_DESCRICAO, SEM_CONTEXTO_HISTORICO, SEM_REFERENCIA_BIBLICA",13,0,0
8,Jean Jouvenet,A pesca milagrosa dos peixes,1706,"SEM_DESCRICAO, SEM_CONTEXTO_HISTORICO, SEM_REFERENCIA_BIBLICA",8,0,0
8,John William Godward,Dolce Far Niente,1897,"SEM_DESCRICAO, SEM_CONTEXTO_HISTORICO, SEM_REFERENCIA_BIBLICA",7,0,0
8,Pedro Bruno,A Pátria,1909,"SEM_DESCRICAO, SEM_CONTEXTO_HISTORICO, SEM_REFERENCIA_BIBLICA",5,0,0
8,Frederick George Swaish,A ceia em Emaús,,"SEM_DESCRICAO, SEM_CONTEXTO_HISTORICO, SEM_REFERENCIA_BIBLICA",8,0,0
8,Luigi Loir,O café noturno,,"SEM_DESCRICAO, SEM_CONTEXTO_HISTORICO, SEM_REFERENCIA_BIBLICA",6,0,0
8,Gustave Doré,Jesus caminha sobre as águas,1870,"SEM_DESCRICAO, SEM_CONTEXTO_HISTORICO, SEM_REFERENCIA_BIBLICA",8,0,0
8,Gustave Doré,Os espíritos em Júpiter,,"SEM_DESCRICAO, SEM_CONTEXTO_HISTORICO, SEM_REFERENCIA_BIBLICA",3,0,0
8,Albert Chevalier Taylor,Um feixe de luz solar,1899,"SEM_DESCRICAO, SEM_CONTEXTO_HISTORICO, SEM_REFERENCIA_BIBLICA",9,0,0
8,Anna Lea Merritt,Eva,1885,"SEM_DESCRICAO, SEM_CONTEXTO_HISTORICO, SEM_REFERENCIA_BIBLICA",5,0,0
8,Charles Edward Chambers,Casal se despedindo na varanda sob a neve,1915,"SEM_DESCRICAO, SEM_CONTEXTO_HISTORICO, SEM_REFERENCIA_BIBLICA",12,0,0
8,Claude Monet,Um campo de tulipas na Holanda,1886,"SEM_DESCRICAO, SEM_CONTEXTO_HISTORICO, SEM_REFERENCIA_BIBLICA",9,0,0
8,Elisabeth Sonrel,O jardim das virgens,1892,"SEM_DESCRICAO, SEM_CONTEXTO_HISTORICO, SEM_REFERENCIA_BIBLICA",7,0,0
8,Eugene Grasset,A cozinha dos anjos,1893,"SEM_DESCRICAO, SEM_CONTEXTO_HISTORICO, SEM_REFERENCIA_BIBLICA",7,0,0
